,component0,component1,component2,component3,component4,component5,component6,component7,component8,component9,component10,component11,component12,component13,component14,component15,component16,component17,component18,component19,component20,component21,component22,component23,component24,component25,component26,component27,component28,component29
isolate_01,-53.33224065899114,-82.7821467745752,-69.77648944846317,-29.492505861498525,10.758611775676167,44.35971449561392,-4.2462700927575705,-53.32488998241679,-12.45397802913338,-15.816762108619981,-18.493373189529805,25.813739048492184,-2.9417164963312876,48.70429957141598,16.847814511180978,22.532850583894035,53.59235918805379,-7.023478810028412,-8.085191292674088,-9.765953636158157,-13.790961695456241,-2.6213290325818783,0.6439919727039348,8.090936214031851,-2.693620394404492,0.9161756149660077,-11.247690568255479,-0.05430375475474412,-1.4855306266876553,2.3586985517976298e-14
isolate_02,27.210782212620494,51.98994406743359,21.753860724145664,1.6267903118459326,5.302084407266491,13.044876125335222,-2.2122920016230014,-9.50259694819362,-26.542184098310553,15.940964214067378,-9.612145372518064,3.84898360612584,11.937983615545795,9.51539529606785,20.401190977997253,-0.07096936567909247,-6.792530512339503,11.777436123832143,11.683655257597126,-6.840453147755253,-2.0193264710540477,11.01693592117376,-15.741977681944428,6.089217001679763,3.243037959773915,2.6464196383044625,-12.42438926749878,53.910031112718414,-5.711545883310505,2.3586985517976313e-14
isolate_03,135.2616239053123,5.558951059193015,30.64430374392484,-9.004651360179054,3.6109743007337096,26.559191972056805,7.615869420248794,9.118073970640381,-8.171530010277921,-39.983124512452534,6.335781803086804,21.96769172701555,13.696062225060112,29.083143566566083,27.38461814708034,53.17540325922679,-35.46234319790416,-12.883991328562423,4.559074680289708,2.800222617275565,14.912446484292195,24.659751931629117,3.6570581030277696,-5.098423002576374,-19.255311324589947,-5.2624583620082515,5.570993064509371,-11.602304395484992,1.9153326291436965,2.358698551797621e-14
isolate_04,-44.15489351909715,-21.128430500843393,-3.4210790899935537,32.62311170877808,50.07150339223582,-6.0711614144924155,-34.41910656929707,44.82424063724163,-46.14848415851117,30.155086112982435,-8.17816072663537,16.448979601354587,-6.073753048267829,17.83392612532603,13.487006163193087,-5.870078418995036,-41.63331236064515,-20.578202851077084,10.049396709436905,-19.902978526550143,-8.50712810180876,-15.161555134604512,-29.05844202478746,-6.571846778789712,24.73749971488817,9.248749571241428,-26.255525067365145,-15.809855882157366,-1.87740196879611,2.3586985517976244e-14
isolate_05,-2.77326260847221,67.00675897455936,-31.974721808140934,-78.17061717384559,-34.18575413754116,-25.138265530549607,-10.15212717334725,19.121020224735478,-32.75513426191305,35.36209416630238,-3.753791276805763,49.05651128041133,-1.4241678983376953,-44.76166705513641,2.2422298294596876,15.964313525634013,24.15033343212133,-2.939925213714982,16.872802280173577,22.13089574413881,-3.2963557048797467,7.782538565107838,-27.4446487012453,24.317809837231454,-5.2138824054493105,3.221394197264947,7.338152139055615,-10.540168680253405,4.684924112645951,2.358698551797624e-14
isolate_06,54.99261296172991,-26.32699960470557,-30.905560715254143,5.632072996280271,-34.601275310265486,-6.880090018987799,-46.987236274276185,-55.77778425317355,-11.450297095132541,4.980318164765577,27.0513024975786,-32.20949694278363,3.284096621927171,-2.3733729755025275,-6.1686926364589665,-17.931224290790208,-1.465445680570303,46.38572424384479,30.309767494580715,-23.77528506180579,26.026102786462193,26.017271103373886,0.21862460952987237,16.55895147909983,7.9201809991562655,16.67173228044198,-12.220902385769266,-13.112325265954416,1.7577750618021215,2.358698551797627e-14
isolate_07,-41.326211944513375,31.77617584617035,21.54571101238996,-28.413473090583143,-53.861920582230724,6.878757986762638,-60.30863374369628,-69.6815771760164,26.287977949605082,-39.243247952511375,-13.028381668729406,-30.093134612917442,-4.967078527695453,18.839392793379783,1.0740074230651333,-12.139735216007924,-29.495001928513783,-20.387236175436005,2.6595993292826887,46.34901546154103,-8.504519701841176,-21.88527188247687,-21.892505734282587,0.8473329719469008,-1.90219752101541,0.3973426397328792,1.469363490718162,-1.7362170978746545,-1.4194948639524974,2.3586985517976263e-14
isolate_08,-42.628390286032065,21.74856168351056,70.51944793263029,-27.001703992569926,13.289796491544566,-2.7583116254559057,-35.887286612057686,-0.16959415616139914,-33.06935225376815,-17.683215431504372,-1.9757537514260954,-15.640419236359278,-46.65678198563917,-28.837530118752504,12.956023939196244,24.392641026031157,3.810292643178346,18.41817693910187,8.108754201400462,-17.714217522952577,-1.89433826743314,-26.58403238923209,34.37440712442536,5.459860901625202,-11.097147184858978,-32.62194249611435,-18.535466558234713,-1.11030667567348,3.909958469221459,2.35869855179763e-14
isolate_09,-21.75185107520311,-13.477861426522459,-14.620986904590513,-7.654059685539239,24.095011113350846,34.54143499126392,25.99623848954817,-11.246656000635408,90.50099963812247,-24.975597030333013,21.456485706939286,34.18664089566264,-27.18222700035157,-27.60530181107918,-10.658843693533424,-16.390781569759785,-22.959546398051476,-19.0026707506421,38.21024820443191,-25.5808945931365,-26.997991318523802,12.695318497118093,3.0956906490956135,12.954130971521494,-3.3579235214812773,-1.6596349016565413,1.2304318794006068,3.423882021797822,-5.148492425693976,2.3586985517976285e-14
isolate_10,62.67497770061441,-33.13535728692787,-4.549814246908437,66.54775116342952,38.391653205518175,18.097189005790373,-31.38529365559141,-28.5988014591019,42.42174167364454,45.85408497114055,-61.824217042716455,11.688440833073745,-16.759387387631417,-25.354872015936387,-5.429320391330603,11.174702723334306,-11.10809238218514,25.90719413201085,-38.55692230612362,0.627574233912233,4.326026300732853,-6.773154011053303,-16.031806383429853,15.903686375127467,-2.967140137639295,-11.908075753451929,16.012810616946386,-1.4452493088667784,-1.394323721040039,2.358698551797626e-14
isolate_11,-17.888574100587654,37.278111009016385,10.337888174198353,-4.2984159613551105,28.405213538427564,0.960784223123411,15.760571228228917,-5.497714845490725,4.7980002244971915,21.276682879849734,14.548078359377577,-4.928982558412307,77.60897172690137,12.332498782981807,-2.58659729311186,1.3513202730882816,-14.314230706839675,2.588249683080558,-8.160794098211644,-2.9589562745411095,-16.7394355466406,-27.388900874853835,33.58814411598056,45.44614717580467,3.662281129641536,5.900537220970412,5.343601190889089,-5.839711704965133,-2.1206475962157314,2.358698551797627e-14
isolate_12,44.85105576555033,27.924373086151373,-22.940209865757186,-76.24839564582399,118.51882078175419,18.50710294820847,7.775967650474059,-9.655175233676996,-8.281574842559621,-3.837515252486079,-6.187634299762125,-45.62412874481761,11.81594196705915,-23.993702373314093,-20.172958609567093,-9.492284363671816,8.394745556895726,-1.2516131458421358,-11.868256720592344,2.1360102330110378,-11.733449115819829,4.044361624922541,-8.552477904091269,-26.801207916317257,-23.917580358015954,17.550844937357176,-10.898403938234267,-4.151925882484617,-3.6075898345051622,2.358698551797627e-14
isolate_13,11.985818233612521,93.52526575164838,-31.521265287728443,60.191567664543605,10.739301746779468,-19.730590514987878,-22.985211644409624,-31.733478539992063,23.029371425961855,48.80266059673152,81.83362125432255,1.3570890091219998,-26.367389152908615,20.082176947377416,-7.7088251355497155,17.281006707812658,18.869096436046572,-25.113472687274864,-20.95711265317601,-5.474877853139442,4.6482493069232325,-3.299338584468412,2.015943150018749,-13.469248022651612,-1.9730741771751534,-4.150216373090243,0.3716379373299438,0.2541013561548642,0.7529981213188053,2.3586985517976266e-14
isolate_14,-47.787008255232465,51.81206417166654,9.612643884225397,78.74464398395628,-59.59821660893995,30.630607454646476,12.412306394696735,-9.32377564056792,-21.88434113207195,-30.73543271593763,-19.503402111069462,34.35505058771986,10.918807543818609,-24.8624753943119,-19.82637762834685,1.9627434040283636,-2.8211256531069506,17.737690459720017,-23.330933083302785,8.006155162265062,-21.69507629331907,17.69741295979098,19.515383512261813,-21.28495759084686,-6.179007405112595,25.234801015036663,-23.51926658940744,-5.9885256000014,-2.2716607265950772,2.358698551797626e-14
isolate_15,-58.86162118971076,-60.028663878365656,109.04169424225348,-45.683022222414074,8.209942311138645,2.909928860432192,45.24386123609154,-27.44099127431072,12.563758312727478,60.078523778836306,29.956971611664034,33.15834958646076,4.645493326010301,15.040907607884114,7.604169698606093,-26.66880136886247,-5.897469573127077,22.025642873369232,-8.163352120389233,23.121432094367822,16.23329601993793,11.396267348575112,-1.3621258748457896,-16.718855221408962,-9.197745342192315,-7.294268852517155,-6.632356709203017,-4.668909544833889,-1.7133186818762052,2.3586985517976253e-14
isolate_16,-22.84292438355439,31.776778438194423,-45.2157185482365,-63.512676558362514,-5.9878727067021105,31.531173371023225,-66.66102780029703,33.65899846827412,-10.23869675425593,-14.59146535361012,-9.867647775231044,34.70103544457053,1.041358087662551,14.674420046712134,-10.12792704420443,-41.9550741870147,-13.152612282904581,0.4241258936909809,-22.301102035151185,-19.4690529729681,27.75817031591957,2.830314444641341,25.505778653322547,-16.820597598830755,6.235082694304479,-5.06002353379649,27.008071749761086,5.126000752690583,0.9768433792428562,2.358698551797628e-14
