GO Process ID,GO Process Desc,IsInvolvedInArtemisinResistance
GO:0020033,antigenic variation,0
GO:0098609,cell-cell adhesion,1
GO:0020035,"cytoadherence to microvasculature, mediated by symbiont protein",1
GO:0020013,modulation by symbiont of host erythrocyte aggregation,1
X,X,0
GO:0042000,translocation of peptides or proteins into host,0
GO:0050776,regulation of immune response,0
GO:0030260,entry into host cell,0
GO:0006468,protein phosphorylation,0
GO:0006422,aspartyl-tRNA aminoacylation,0
GO:0015031,protein transport,1
GO:0042147,"retrograde transport, endosome to Golgi",1
GO:0006863,purine nucleobase transport,0
GO:0015860,purine nucleoside transmembrane transport,1
GO:2001139,negative regulation of phospholipid transport,1
GO:0015914,phospholipid transport,1
GO:0006511,ubiquitin-dependent protein catabolic process,1
GO:0019288,"isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway",0
GO:0015809,arginine transport,0
GO:0015819,lysine transport,0
GO:0015986,ATP synthesis coupled proton transport,0
GO:0006816,calcium ion transport,0
GO:0042493,response to drug,1
GO:0060627,regulation of vesicle-mediated transport,1
GO:0007264,small GTPase mediated signal transduction,0
GO:0000278,mitotic cell cycle,1
GO:0055088,lipid homeostasis,0
GO:0009405,pathogenesis,1
GO:0010998,regulation of translational initiation by eIF2 alpha phosphorylation,1
GO:0006281,DNA repair,0
GO:0007021,tubulin complex assembly,1
GO:0035556,intracellular signal transduction,0
GO:0006355,"regulation of transcription, DNA-templated",0
GO:0006432,phenylalanyl-tRNA aminoacylation,0
GO:0006414,translational elongation,1
GO:0006366,transcription by RNA polymerase II,0
GO:0046854,phosphatidylinositol phosphorylation,0
GO:0031497,chromatin assembly,0
GO:0006334,nucleosome assembly,0
GO:0051123,RNA polymerase II preinitiation complex assembly,0
GO:0007018,microtubule-based movement,1
GO:0006165,nucleoside diphosphate phosphorylation,0
GO:0006259,DNA metabolic process,0
GO:0006810,transport,1
GO:0006417,regulation of translation,1
GO:0016117,carotenoid biosynthetic process,0
GO:0018345,protein palmitoylation,0
GO:0006289,nucleotide-excision repair,0
GO:0042273,ribosomal large subunit biogenesis,1
GO:0006520,cellular amino acid metabolic process,1
GO:0006744,ubiquinone biosynthetic process,0
GO:0006295,"nucleotide-excision repair, DNA incision, 3'-to lesion",0
GO:0071976,cell gliding,1
GO:0035891,exit from host cell,1
GO:0015887,pantothenate transmembrane transport,1
GO:0006163,purine nucleotide metabolic process,0
GO:0006508,proteolysis,1
GO:0002377,immunoglobulin production,0
GO:0006364,rRNA processing,0
GO:0042274,ribosomal small subunit biogenesis,1
GO:0032790,ribosome disassembly,1
GO:0044007,dissemination or transmission of symbiont from host,0
GO:0043952,protein transport by the Sec complex,1
GO:0015718,monocarboxylic acid transport,0
GO:0006886,intracellular protein transport,1
GO:0031338,regulation of vesicle fusion,1
GO:0016192,vesicle-mediated transport,1
GO:0032889,"regulation of vacuole fusion, non-autophagic",1
GO:0006633,fatty acid biosynthetic process,1
GO:0006488,dolichol-linked oligosaccharide biosynthetic process,1
GO:0006421,asparaginyl-tRNA aminoacylation,0
GO:0016598,protein arginylation,0
GO:0009408,response to heat,0
GO:0006986,response to unfolded protein,1
GO:0007165,signal transduction,0
GO:0006457,protein folding,1
GO:0006888,ER to Golgi vesicle-mediated transport,1
GO:0044053,translocation of peptides or proteins into host cell cytoplasm,1
GO:0044409,entry into host,0
GO:0006631,fatty acid metabolic process,0
GO:0015909,long-chain fatty acid transport,0
GO:0006267,pre-replicative complex assembly involved in nuclear cell cycle DNA replication,0
GO:0098657,import into cell,0
GO:0006412,translation,1
GO:0000387,spliceosomal snRNP assembly,0
GO:0006260,DNA replication,0
GO:0020012,evasion or tolerance of host immune response,1
GO:0006855,drug transmembrane transport,1
GO:0006611,protein export from nucleus,0
GO:0006897,endocytosis,1
GO:0006127,glycerophosphate shuttle,0
GO:0034975,protein folding in endoplasmic reticulum,1
GO:0071897,DNA biosynthetic process,0
GO:0000349,generation of catalytic spliceosome for first transesterification step,0
GO:0000398,"mRNA splicing, via spliceosome",0
GO:0006470,protein dephosphorylation,0
GO:0051262,protein tetramerization,0
GO:0006438,valyl-tRNA aminoacylation,0
GO:0006486,protein glycosylation,1
GO:0018105,peptidyl-serine phosphorylation,0
GO:0010564,regulation of cell cycle process,1
