Gene ID,Genomic Location (Gene),Product Description,Computed GO Component IDs,Computed GO Components,Computed GO Function IDs,Computed GO Functions,Computed GO Process IDs,Computed GO Processes,Curated GO Component IDs,Curated GO Components,Curated GO Function IDs,Curated GO Functions,Curated GO Process IDs,Curated GO Processes,EC numbers,EC numbers from OrthoMCL
PF3D7_0100100,"Pf3D7_01_v3:29,510..37,126(+)","erythrocyte membrane protein 1, PfEMP1",GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,GO:0020002;GO:0020030,host cell plasma membrane;infected host cell surface knob,GO:0050839,cell adhesion molecule binding,GO:0020033;GO:0098609;GO:0020035;GO:0020013,"antigenic variation;cell-cell adhesion;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0100200,"Pf3D7_01_v3:38,982..40,207(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0100300,"Pf3D7_01_v3:42,367..46,507(-)","erythrocyte membrane protein 1, PfEMP1",GO:0016021,integral component of membrane,GO:0046789,host cell surface receptor binding,GO:0009405,pathogenesis,null,null,null,null,null,null,null,null
PF3D7_0100400,"Pf3D7_01_v3:50,363..51,636(+)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,GO:0046812,host cell surface binding,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0100500,"Pf3D7_01_v3:53,169..53,280(-)","erythrocyte membrane protein 1 (PfEMP1), exon 1, pseudogene",null,null,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0100600,"Pf3D7_01_v3:53,778..55,006(-)",rifin,GO:0016020,membrane,null,null,null,null,GO:0020002,host cell plasma membrane,null,null,GO:0020033,antigenic variation,null,null
PF3D7_0100700,"Pf3D7_01_v3:56,690..56,893(-)","Plasmodium exported protein, unknown function, fragment",GO:0005737,cytoplasm,null,null,null,null,null,null,null,null,null,null,null,null
PF3D7_0100800,"Pf3D7_01_v3:59,772..61,003(+)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0100900,"Pf3D7_01_v3:62,187..63,400(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
PF3D7_0101000,"Pf3D7_01_v3:65,817..66,989(-)",rifin,null,null,null,null,null,null,GO:0020036;GO:0020002;GO:0020003,Maurer's cleft;host cell plasma membrane;symbiont-containing vacuole,null,null,GO:0020033;GO:0020035;GO:0020013,"antigenic variation;cytoadherence to microvasculature, mediated by symbiont protein;modulation by symbiont of host erythrocyte aggregation",null,null
