Isolate	Predicted_IC50
isolate_31	0.399831379
isolate_32	3.843388508
isolate_33	1.758493944
isolate_34	0.452009371
isolate_35	2.949344095
isolate_36	0.624889228
isolate_37	2.634636467
isolate_38	1.127394991
isolate_39	2.709308809
isolate_40	2.201201658
isolate_41	3.850902696
isolate_42	1.562007153
isolate_43	1.414686364
isolate_44	1.02811022
isolate_45	0.299189693
isolate_46	3.250350266
isolate_47	2.562397243
isolate_48	0.705866593
isolate_49	1.266840897
isolate_50	1.766902695
isolate_51	0.201810461
isolate_52	2.417813814
isolate_53	2.444471414
isolate_54	2.711323783
isolate_55	3.748819538
