Isolate	Predicted_Categorical_Clearance
isolate_02	Fast
isolate_09	Slow
isolate_10	Fast
isolate_11	Slow
isolate_12	Fast
isolate_13	Slow
isolate_14	Fast
isolate_16	Slow
isolate_18	Fast
isolate_19	Slow
isolate_20	Fast
isolate_22	Slow
isolate_23	Fast
isolate_24	Slow
isolate_27	Fast
isolate_29	Slow
isolate_30	Fast
isolate_31	Slow
isolate_32	Fast
isolate_35	Slow
isolate_38	Fast
isolate_39	Slow
isolate_40	Fast
isolate_42	Slow
isolate_43	Fast
isolate_44	Slow
isolate_46	Fast
isolate_47	Slow
isolate_50	Fast
isolate_51	Slow
isolate_53	Fast
isolate_54	Slow
