Gene,XGBoostGain
PF3D7_1246300,18.446116659
PF3D7_1372000,9.149798443533331
PF3D7_0533000,4.789708987
PF3D7_1447300,8.69056702
PF3D7_0808600,6.69506836
PF3D7_0101800,1.701898575
PF3D7_1458500,3.19294858
PF3D7_0830800,5.220546539744444
PF3D7_1027900,23.4580307
PF3D7_1041200,6.199973895666667
PF3D7_0415700,9.63854218
PF3D7_1212100,3.7605673178
PF3D7_1146700,13.7503195
PF3D7_1141000,11.475214
PF3D7_1229100,7.96026945
PF3D7_0213000,8.362570665666667
PF3D7_0625900,4.262331785
PF3D7_0213700,2.21107483
PF3D7_0220000,5.31659937
PF3D7_0218600,8.227783220000001
PF3D7_0810200,11.5347023
PF3D7_1317700,4.9247621735
PF3D7_1245300,17.00311344211111
PF3D7_0404300,9.766740438000001
PF3D7_1142000,10.9311523
PF3D7_0405200,8.58686829
PF3D7_0319500,7.82001147855
PF3D7_1139600,7.5250033855
PF3D7_0730100,9.15306187
PF3D7_1442800,7.221601927000001
PF3D7_1328400,4.709202782135715
PF3D7_1304300,8.41132069
PF3D7_0415500,10.654311674999999
PF3D7_0912000,13.5006313
PF3D7_1373500,2.490331393714286
PF3D7_1357300,5.41091919
PF3D7_0711700,8.6924521195
PF3D7_1112400,10.0005951
PF3D7_1426400,6.525859833333333
PF3D7_1215100,13.255873699999999
PF3D7_0807100,0.75218660365
PF3D7_1325600,4.797161923
PF3D7_1251000,0.651799202
PF3D7_0921300,0.544902325
PF3D7_1107700,6.686487326555554
PF3D7_1451300,5.777431569666667
PF3D7_0520500,6.917656181666666
PF3D7_1103200,7.08264685
PF3D7_1206000,3.314520522
PF3D7_0523000,4.173984346727273
PF3D7_0804800,9.3085022
PF3D7_1131900,3.2288417799999998
PF3D7_1140000,11.0623779
PF3D7_1129600,5.84519005
PF3D7_1118300,3.74728775
PF3D7_1000400,9.15372372
PF3D7_1001300,0.613822937
PF3D7_1149200,8.26880836
PF3D7_1428200,5.4202935646363635
PF3D7_1144200,5.445871391000001
PF3D7_1122700,6.45441818
PF3D7_1131200,2.820881683666667
PF3D7_1133700,22.5691357
PF3D7_1438100,7.77572584
PF3D7_0805000,4.728257325875
PF3D7_0624600,14.7291698
PF3D7_1323300,10.4578543
PF3D7_1113800,4.010024687666667
PF3D7_1428400,5.9615574136
PF3D7_1355400,8.38835144
PF3D7_1248800,3.3642066469
PF3D7_1009000,2.490632022833333
PF3D7_0109200,3.0448904
PF3D7_0511100,7.06249952
PF3D7_1311000,5.10145187
PF3D7_0207500,1.9654851
PF3D7_0514800,9.040057116
PF3D7_1311200,21.185791
PF3D7_0802700,3.9890599366666666
PF3D7_1029400,3.586949825
PF3D7_0711300,10.0473146
PF3D7_0202000,4.2228960545000005
PF3D7_1027000,5.02714491
PF3D7_1113900,2.43805623
PF3D7_1455100,5.107260705
PF3D7_0916300,5.56666565
PF3D7_1451800,3.06757069
PF3D7_0606200,7.75349808
PF3D7_0322000,2.0377061522499997
PF3D7_1015000,8.2297821
PF3D7_1023900,3.2185182415
PF3D7_1319800,2.6361387350000003
PF3D7_0517000,3.898202281666667
PF3D7_1465100,5.0878849
PF3D7_0109300,1.1249457006666668
PF3D7_0614100,4.66863155
PF3D7_0914200,8.304142672000001
PF3D7_0502400,21.5624752
PF3D7_0206200,1.081342161
